2e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,9e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8.88e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2.5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,4.4e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.49e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.48e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.47e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,
/home/dsmu186/ths/workflow/blifs/apex4.blif,1,2.14611e-09,2.50245e-09,1.1660399513538449,,,1,2.15301e-09,2.50245e-09,1.1623030083464545,,,1,2.15301e-09,2.50245e-09,1.1623030083464545,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.14611e-09,2.50245e-09,1.1660399513538449,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,2,2.15301e-09,2.84499e-09,1.3214012011091447,,,3,2.15301e-09,3.18753e-09,1.4804993938718352,,,4,2.15301e-09,2.85189e-09,1.324606016692909,,,8,2.15301e-09,3.53697e-09,1.6428024022182897,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/seq.blif,1,2.48865e-09,2.15301e-09,0.8651316979085046,,,1,2.48865e-09,2.48865e-09,1.0,,,1,2.48865e-09,2.48865e-09,1.0,,,1,2.48865e-09,2.50245e-09,1.0055451750949311,,,1,2.48865e-09,2.50245e-09,1.0055451750949311,,,1,2.48865e-09,2.50245e-09,1.0055451750949311,,,1,2.48865e-09,2.48865e-09,1.0,,,2,2.48865e-09,2.84499e-09,1.1431860647338918,,,4,2.48865e-09,3.86571e-09,1.5533361461033088,,,6,2.48865e-09,3.87261e-09,1.5561087336507744,,,11,2.48865e-09,3.87951e-09,1.55888132119824,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/apex2.blif,1,2.84499e-09,3.18063e-09,1.1179758101082955,,,1,2.50245e-09,2.85189e-09,1.1396391536294432,,,1,2.84499e-09,2.85189e-09,1.0024253160819545,,,1,2.84499e-09,3.17373e-09,1.115550494026341,,,1,2.83809e-09,3.18063e-09,1.1206938469181738,,,1,2.83119e-09,3.18063e-09,1.1234251321882318,,,1,2.83119e-09,2.84499e-09,1.0048742754813347,,,2,2.84499e-09,3.53007e-09,1.2408022523805005,,,4,2.84499e-09,3.53697e-09,1.243227568462455,,,6,2.84499e-09,3.87951e-09,1.3636286946527052,,,12,2.84499e-09,4.21515e-09,1.481604504761001,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/s38417.blif,1,4.15906e-09,4.85104e-09,1.1663789413954115,,,1,4.15906e-09,4.84414e-09,1.164719912672575,,,1,4.15906e-09,4.4878e-09,1.0790418988906147,,,1,4.15906e-09,4.85104e-09,1.1663789413954115,,,1,4.15906e-09,4.85104e-09,1.1663789413954115,,,2,4.15906e-09,4.84414e-09,1.164719912672575,,,3,4.15906e-09,5.19358e-09,1.2487388977316989,,,7,4.15906e-09,6.235e-09,1.4991368241862344,,,13,4.15906e-09,6.59134e-09,1.5848148379681946,,,20,4.15216e-09,6.59824e-09,1.5891102462332858,,,93,4.15906e-09,8.28334e-09,1.991637533481123,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/s38584.1.blif,1,3.18063e-09,4.61328e-09,1.450429631865385,,,1,3.18063e-09,4.61328e-09,1.450429631865385,,,1,3.21552e-09,4.61328e-09,1.4346917450365724,,,1,3.18063e-09,4.93512e-09,1.551617132454891,,,1,3.18063e-09,4.61328e-09,1.450429631865385,,,2,3.21552e-09,5.6478e-09,1.7564188684878341,,,3,3.18063e-09,5.6409e-09,1.773516567472482,,,7,3.21552e-09,5.99034e-09,1.862945962083893,,,14,3.18063e-09,5.61981e-09,1.7668858056422783,,,20,3.21552e-09,5.98344e-09,1.860800119420809,,,104,3.18063e-09,5.60601e-09,1.7625470425670384,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/s298.blif,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.52232e-09,7.28332e-09,1.3188877138593924,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.49433e-09,7.27642e-09,1.324350739762628,,,3,5.52922e-09,8.66038e-09,1.5662932565533656,,,5,5.49433e-09,8.98222e-09,1.6348162560312174,,,7,5.52922e-09,8.66728e-09,1.567541172172567,,,14,5.52922e-09,9.6811e-09,1.7508979566738165,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/tseng.blif,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.81654e-09,5.52232e-09,1.1465325731749347,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.81654e-09,5.52232e-09,1.1465325731749347,,,2,4.4878e-09,5.52232e-09,1.230518294041624,,,3,4.4878e-09,7.24882e-09,1.6152279513347296,,,4,4.4878e-09,7.25572e-09,1.616765453005927,,,17,4.4878e-09,8.64658e-09,1.926685681180088,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/clma.blif,1,5.20048e-09,5.54302e-09,1.0658669968925945,,,1,5.20048e-09,5.52922e-09,1.063213395686552,,,1,5.20048e-09,5.87866e-09,1.1304071931821678,,,1,5.20048e-09,5.52922e-09,1.063213395686552,,,1,5.20048e-09,5.87866e-09,1.1304071931821678,,,2,5.20048e-09,6.2488e-09,1.2015813924868473,,,4,5.20048e-09,6.54994e-09,1.2594875857613141,,,9,5.20048e-09,9.33166e-09,1.794384364520198,,,18,5.20048e-09,9.33166e-09,1.794384364520198,,,27,5.20048e-09,8.63968e-09,1.661323570131988,,,63,5.20048e-09,9.34546e-09,1.7970379657262405,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/diffeq.blif,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,2,5.17288e-09,5.52922e-09,1.0688861910579792,,,4,5.17288e-09,7.9684e-09,1.5404184902800762,,,5,5.17288e-09,7.63966e-09,1.476867818313976,,,31,5.17288e-09,8.62588e-09,1.6675198342122763,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/ex5p.blif,1,2.15301e-09,2.84499e-09,1.3214012011091447,,,1,2.48865e-09,2.84499e-09,1.1431860647338918,,,1,2.48865e-09,2.83809e-09,1.1404134771864263,,,1,2.15301e-09,2.84499e-09,1.3214012011091447,,,1,2.15301e-09,2.84499e-09,1.3214012011091447,,,1,2.48865e-09,2.84499e-09,1.1431860647338918,,,1,2.15301e-09,2.84499e-09,1.3214012011091447,,,2,2.15301e-09,2.85189e-09,1.324606016692909,,,3,2.15301e-09,3.19443e-09,1.4837042094555992,,,4,2.48865e-09,3.19443e-09,1.2835995419203183,,,7,2.48865e-09,3.54387e-09,1.4240130191067446,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
