1,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,9e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8.88e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2.5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,4.4e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.49e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.48e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.47e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,
/home/dsmu186/ths/workflow/blifs/misex3.blif,N/A,N/A,N/A,N/A,,,1,2.13231e-09,2.49555e-09,1.1703504649886742,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.13921e-09,2.48865e-09,1.1633500217369963,,,1,2.13231e-09,2.48865e-09,1.1671145377548293,,,1,2.48175e-09,2.14611e-09,0.8647567240858266,,,1,2.13921e-09,2.48865e-09,1.1633500217369963,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,2,2.48175e-09,2.49555e-09,1.005560592323965,,,3,2.13921e-09,2.82429e-09,1.3202490639067692,,,5,2.13921e-09,2.83809e-09,1.3267000434739926,,,9,2.15301e-09,3.18063e-09,1.477294578288071,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/ex5p.blif,N/A,N/A,N/A,N/A,,,1,2.13921e-09,2.83119e-09,1.323474553690381,,,1,2.48175e-09,2.50245e-09,1.0083408884859475,,,1,2.14611e-09,2.84499e-09,1.3256496638103359,,,1,2.15301e-09,2.84499e-09,1.3214012011091447,,,1,2.15301e-09,2.48865e-09,1.1558933771789262,,,1,2.15301e-09,2.84499e-09,1.3214012011091447,,,1,2.48865e-09,2.84499e-09,1.1431860647338918,,,2,2.15301e-09,2.83809e-09,1.3181963855253807,,,3,2.15301e-09,2.83119e-09,1.3149915699416166,,,4,2.48865e-09,3.19443e-09,1.2835995419203183,,,7,2.13921e-09,3.52317e-09,1.646949107380762,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/seq.blif,N/A,N/A,N/A,N/A,,,1,2.13231e-09,2.48865e-09,1.1671145377548293,,,1,1.79667e-09,2.47485e-09,1.3774649768738834,,,1,2.48175e-09,2.49555e-09,1.005560592323965,,,1,2.13921e-09,2.49555e-09,1.166575511520608,,,1,2.48865e-09,2.48175e-09,0.9972274124525344,,,1,2.13921e-09,2.49555e-09,1.166575511520608,,,1,2.48175e-09,2.48175e-09,1.0,,,2,2.48865e-09,2.50245e-09,1.0055451750949311,,,4,2.13921e-09,2.49555e-09,1.166575511520608,,,6,2.13921e-09,3.87261e-09,1.8102991291177584,,,11,2.13921e-09,3.53697e-09,1.6534000869479855,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/des.blif,N/A,N/A,N/A,N/A,,,1,2.13921e-09,2.48865e-09,1.1633500217369963,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,1,2.13921e-09,2.48175e-09,1.1601245319533846,,,1,2.15301e-09,2.13231e-09,0.9903855532487076,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,1,2.15301e-09,2.13231e-09,0.9903855532487076,,,1,2.15301e-09,2.48865e-09,1.1558933771789262,,,2,2.13921e-09,2.83809e-09,1.3267000434739926,,,4,2.15301e-09,2.84499e-09,1.3214012011091447,,,5,2.13921e-09,2.48865e-09,1.1633500217369963,,,10,2.15301e-09,3.53697e-09,1.6428024022182897,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/diffeq.blif,N/A,N/A,N/A,N/A,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,2,5.17288e-09,5.53612e-09,1.070220070830949,,,4,5.17288e-09,7.9684e-09,1.5404184902800762,,,5,5.17288e-09,7.63966e-09,1.476867818313976,,,31,5.17288e-09,8.62588e-09,1.6675198342122763,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/frisc.blif,N/A,N/A,N/A,N/A,,,1,8.29024e-09,9.33166e-09,1.125620006175937,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.29024e-09,9.32476e-09,1.124787702165438,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,2,8.28334e-09,1.00167e-08,1.209258584097719,,,4,8.29024e-09,1.07432e-08,1.2958852819701239,,,8,8.29024e-09,1.17777e-08,1.420670571660169,,,12,8.29024e-09,1.41824e-08,1.7107345505075846,,,155,8.29024e-09,1.58744e-08,1.9148299687343187,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/tseng.blif,N/A,N/A,N/A,N/A,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,2,4.4878e-09,5.52232e-09,1.230518294041624,,,3,4.4878e-09,7.25572e-09,1.616765453005927,,,4,4.4878e-09,7.25572e-09,1.616765453005927,,,17,4.4878e-09,8.97532e-09,1.9999376086278355,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/elliptic.blif,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.1798e-09,1.1190586565066856,,,2,5.17288e-09,6.56374e-09,1.2688753653670681,,,4,5.52232e-09,7.61896e-09,1.3796665169711282,,,8,5.52232e-09,8.31094e-09,1.504972547769778,,,12,5.52232e-09,8.31094e-09,1.504972547769778,,,98,5.52232e-09,1.20444e-08,2.1810398528154833,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/apex2.blif,N/A,N/A,N/A,N/A,,,1,2.48865e-09,2.83809e-09,1.1404134771864263,,,1,2.49555e-09,2.83119e-09,1.1344954018152311,,,1,2.83119e-09,2.85189e-09,1.007311413222002,,,1,2.83119e-09,2.83119e-09,1.0,,,1,2.82429e-09,2.83809e-09,1.004886183784243,,,1,2.49555e-09,3.18063e-09,1.2745206467512171,,,1,2.49555e-09,3.17373e-09,1.2717557251908396,,,2,2.83119e-09,3.53697e-09,1.249287402117131,,,4,2.48865e-09,3.52317e-09,1.4156952564643481,,,6,2.49555e-09,3.52317e-09,1.4117809701268256,,,12,2.49555e-09,4.22205e-09,1.6918314599987978,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/alu4.blif,N/A,N/A,N/A,N/A,,,1,2.48865e-09,2.49555e-09,1.0027725875474656,,,1,2.48175e-09,2.48865e-09,1.0027802961619825,,,1,2.15301e-09,2.82429e-09,1.3117867543578523,,,1,2.48175e-09,2.83119e-09,1.1408038682381385,,,1,2.14611e-09,2.83119e-09,1.319219424912982,,,1,2.15301e-09,2.83119e-09,1.3149915699416166,,,1,2.14611e-09,2.83119e-09,1.319219424912982,,,2,2.48865e-09,3.19443e-09,1.2835995419203183,,,4,2.48865e-09,3.18063e-09,1.2780543668253872,,,5,2.48865e-09,3.52317e-09,1.4156952564643481,,,10,2.48865e-09,3.52317e-09,1.4156952564643481,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/bigkey.blif,N/A,N/A,N/A,N/A,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.32865e-09,0.9948335891580248,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.36354e-09,1.0209576578937516,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,2,1.33555e-09,1.36354e-09,1.0209576578937516,,,4,1.32865e-09,2.03443e-09,1.5312008429609,,,6,1.32865e-09,2.37007e-09,1.7838181612915365,,,11,1.33555e-09,2.37007e-09,1.7746022238029275,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/spla.blif,N/A,N/A,N/A,N/A,,,1,2.83119e-09,3.16683e-09,1.1185508567068971,,,1,2.48865e-09,3.18753e-09,1.2808269543728528,,,1,2.49555e-09,2.84499e-09,1.140025244935986,,,1,2.83119e-09,2.84499e-09,1.0048742754813347,,,1,2.48865e-09,3.18063e-09,1.2780543668253872,,,1,2.83119e-09,3.18063e-09,1.1234251321882318,,,2,2.83119e-09,3.54387e-09,1.2517245398577983,,,4,2.83809e-09,3.87261e-09,1.36451275329535,,,8,2.83119e-09,3.89331e-09,1.3751496720460301,,,12,2.49555e-09,3.53007e-09,1.4145458916872031,,,24,2.83119e-09,3.86571e-09,1.3654011210833608,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/dsip.blif,N/A,N/A,N/A,N/A,,,1,1.10469e-09,1.44723e-09,1.3100779404176737,,,1,1.10469e-09,1.44723e-09,1.3100779404176737,,,1,1.10469e-09,1.44723e-09,1.3100779404176737,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.10469e-09,1.44723e-09,1.3100779404176737,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44033e-09,1.0784545692785743,,,2,1.10469e-09,2.37697e-09,2.151707718907567,,,3,1.33555e-09,2.36317e-09,1.7694358129609522,,,5,1.10469e-09,1.70608e-09,1.54439707067141,,,20,1.33555e-09,2.37007e-09,1.7746022238029275,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/clma.blif,1,5.20048e-09,5.17978e-09,0.9960195981909362,,,1,5.20048e-09,5.18668e-09,0.9973463987939575,,,1,4.85104e-09,5.20048e-09,1.0720340380619413,,,1,5.20048e-09,5.87866e-09,1.1304071931821678,,,1,5.20048e-09,5.52232e-09,1.0618865950835308,,,1,5.20048e-09,5.52232e-09,1.0618865950835308,,,2,5.20048e-09,6.2488e-09,1.2015813924868473,,,4,5.20048e-09,6.91318e-09,1.3293349844629725,,,9,5.20048e-09,9.33166e-09,1.794384364520198,,,18,5.18668e-09,8.99602e-09,1.7344466980804676,,,27,5.20048e-09,8.29714e-09,1.5954565732393933,,,63,5.20048e-09,1.00374e-08,1.930091068516752,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/s38584.1.blif,1,3.21552e-09,4.93512e-09,1.5347813106433796,,,1,3.21552e-09,4.61328e-09,1.4346917450365724,,,1,3.18063e-09,4.61328e-09,1.450429631865385,,,1,3.21552e-09,4.60638e-09,1.4325459023734886,,,1,3.21552e-09,4.61328e-09,1.4346917450365724,,,1,3.18063e-09,4.61328e-09,1.450429631865385,,,2,3.18063e-09,5.6478e-09,1.7756859490101018,,,3,3.18063e-09,5.6547e-09,1.7778553305477218,,,7,3.21552e-09,5.99034e-09,1.862945962083893,,,14,3.41149e-09,5.99034e-09,1.7559306930402845,,,20,3.21552e-09,5.98344e-09,1.860800119420809,,,104,3.21552e-09,5.61291e-09,1.745568368413196,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/apex4.blif,N/A,N/A,N/A,N/A,,,1,2.13921e-09,2.48175e-09,1.1601245319533846,,,1,2.15301e-09,2.50245e-09,1.1623030083464545,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,1,2.14611e-09,2.50245e-09,1.1660399513538449,,,1,2.14611e-09,2.48865e-09,1.159609712456491,,,1,2.15301e-09,2.50245e-09,1.1623030083464545,,,1,2.13921e-09,2.49555e-09,1.166575511520608,,,2,2.14611e-09,2.83119e-09,1.319219424912982,,,3,2.14611e-09,2.48865e-09,1.159609712456491,,,4,2.14611e-09,2.83119e-09,1.319219424912982,,,8,2.14611e-09,3.53697e-09,1.6480842081719949,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
