Name,0-LUT,1-LUT,2-LUT,3-LUT,4-LUT,5-LUT,6-LUT,Input,Output,.latch,.names,FPGA Area (width in CLBs),First Pass Delay,Estimated Critical Path Delay,Channel Width,Av. Wire Segments, Max Wire Segments,Total Logic Block Area,Used Logic Block Area,Total Routing Area,Segment Usage,Critical Path,VPR Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\bigkey.blif.log,0,0,342,4,1353,0,0,229,197,224,1699,16,2.784e-009,2.30503e-009,42,4.00538, 73,3.79224e+006,2.51828e+006,1.23602e+006,0.549,2.3734e-009,84.037
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\clma.blif.log,1,0,527,2040,5797,0,0,62,82,33,8365,34,1.305e-008,8.80492e-009,64,5.92490, 262,1.71242e+007,1.24284e+007,8.14062e+006,0.693,9.01003e-009,826.48
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\des.blif.log,0,0,88,323,1180,0,0,256,245,0,1591,16,5.463e-009,3.82259e-009,46,4.46904, 49,3.79224e+006,2.37014e+006,1.30824e+006,0.593,4.0277e-009,85.209
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\diffeq.blif.log,0,0,141,440,913,0,0,64,39,377,1494,15,7.735e-009,6.36797e-009,38,3.67617, 59,3.33302e+006,2.26645e+006,1.01536e+006,0.66,6.57308e-009,53.137
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\dsip.blif.log,0,0,2,4,1356,0,0,229,197,224,1362,14,2.715e-009,2.16829e-009,40,4.14675, 60,2.90343e+006,2.02943e+006,919672.,0.537,2.23666e-009,86.123
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\elliptic.blif.log,0,0,433,1024,2145,0,0,131,114,1122,3602,23,8.898e-009,7.39421e-009,50,5.19297, 154,7.83632e+006,5.46616e+006,2.99343e+006,0.692,7.53095e-009,289.63
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\ex1010.blif.log,0,0,190,1944,2464,0,0,10,10,0,4598,25,7.037e-009,5.68027e-009,64,5.33384, 135,9.25838e+006,6.81419e+006,4.50478e+006,0.601,5.81701e-009,401.434
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\ex5p.blif.log,0,0,45,227,792,0,0,8,63,0,1064,13,4.769e-009,4.01739e-009,50,5.64865, 57,2.50346e+006,1.58503e+006,996061.,0.672,4.36955e-009,53.45
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\frisc.blif.log,0,0,276,965,2298,0,0,20,116,886,3539,23,1.472e-008,9.94698e-009,56,6.66421, 153,7.83632e+006,5.31803e+006,3.22297e+006,0.726,1.03572e-008,429.658
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\misex3.blif.log,0,0,66,502,829,0,0,14,14,0,1397,14,4.848e-009,3.73222e-009,42,5.74857, 67,2.90343e+006,2.07387e+006,947768.,0.752,4.29018e-009,60.019
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\pdc.blif.log,0,0,84,979,3512,0,0,16,40,0,4575,25,7.8e-009,5.46554e-009,64,7.83080, 179,9.25838e+006,6.78457e+006,4.50478e+006,0.773,6.41172e-009,397.958
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\s298.blif.log,0,0,172,432,1326,0,0,4,6,8,1930,17,9.932e-009,8.08633e-009,30,5.16031, 101,4.28108e+006,2.8738e+006,1.08755e+006,0.626,8.57781e-009,2620.11
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\s38417.blif.log,0,68,291,2508,3175,0,0,29,106,1463,6042,30,1.001e-008,5.90931e-009,42,4.02152, 148,1.3332e+007,9.42133e+006,4.19240e+006,0.678,6.31953e-009,376.671
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\s38584.1.blif.log,12,9,1600,1167,3389,0,0,38,304,1260,6177,30,7.346e-009,4.6451e-009,44,4.22808, 296,1.3332e+007,9.53984e+006,4.31319e+006,0.692,4.98695e-009,459.989
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\seq.blif.log,0,0,129,584,1037,0,0,41,35,0,1750,16,4.848e-009,3.87996e-009,46,5.86111, 78,3.79224e+006,2.59235e+006,1.30824e+006,0.71,4.83714e-009,105.526
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\spla.blif.log,0,0,53,892,2745,0,0,16,46,0,3690,23,7.105e-009,5.05394e-009,54,7.08891, 139,7.83632e+006,5.46616e+006,3.14542e+006,0.767,6.94561e-009,357.396
C:\Users\Dave\Documents\Visual Studio 2010\Projects\vtr\vtr_flow\benchmarks\blif\tseng.blif.log,0,0,132,283,631,0,0,52,122,385,1046,13,7.187e-009,5.80932e-009,34,3.63807, 41,2.50346e+006,1.58503e+006,722183.,0.612,6.15117e-009,49.618
