1,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,9e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8.88e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2.5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,4.4e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.49e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.48e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.47e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,
/home/dsmu186/ths/workflow/blifs/dsip.blif,1,1.33555e-09,1.44033e-09,1.0784545692785743,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.33555e-09,1.0,,,1,1.10469e-09,1.44723e-09,1.3100779404176737,,,1,1.10469e-09,1.44723e-09,1.3100779404176737,,,2,1.10469e-09,2.37697e-09,2.151707718907567,,,3,1.10469e-09,2.36317e-09,2.139215526527804,,,5,1.10469e-09,1.68499e-09,1.525305741882338,,,23,1.10469e-09,2.02753e-09,1.8353836823000116,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/misex3.blif,1,2.13921e-09,2.83119e-09,1.323474553690381,,,1,2.15301e-09,2.48865e-09,1.1558933771789262,,,1,2.14611e-09,2.48175e-09,1.156394593007814,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.14611e-09,2.49555e-09,1.162824831905168,,,1,1.80357e-09,2.48175e-09,1.3760208918977361,,,1,2.13231e-09,2.49555e-09,1.1703504649886742,,,1,2.48175e-09,2.83809e-09,1.1435841644001208,,,2,2.48175e-09,2.49555e-09,1.005560592323965,,,3,2.13921e-09,2.83809e-09,1.3267000434739926,,,5,2.48865e-09,3.17373e-09,1.2752817792779216,,,9,2.13231e-09,3.51627e-09,1.6490425876162471,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/s38417.blif,1,4.15906e-09,4.84414e-09,1.164719912672575,,,1,4.15906e-09,4.85104e-09,1.1663789413954115,,,1,4.15906e-09,4.85104e-09,1.1663789413954115,,,1,4.15906e-09,4.84414e-09,1.164719912672575,,,1,4.13836e-09,4.84414e-09,1.170545820083318,,,1,4.15906e-09,4.85104e-09,1.1663789413954115,,,2,4.15906e-09,4.83724e-09,1.1630608839497385,,,3,4.15906e-09,5.19358e-09,1.2487388977316989,,,7,4.15906e-09,6.235e-09,1.4991368241862344,,,13,4.15906e-09,6.59134e-09,1.5848148379681946,,,20,4.15906e-09,6.59824e-09,1.586473866691031,,,93,4.15906e-09,8.28334e-09,1.991637533481123,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/diffeq.blif,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.17288e-09,1.0,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.51542e-09,1.0662184315120398,,,1,5.17288e-09,5.17288e-09,1.0,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,2,5.17288e-09,5.52922e-09,1.0688861910579792,,,4,5.17288e-09,7.9684e-09,1.5404184902800762,,,5,5.17288e-09,7.63966e-09,1.476867818313976,,,31,5.17288e-09,8.28334e-09,1.6013014027002366,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/spla.blif,1,2.83809e-09,3.18063e-09,1.1206938469181738,,,1,2.83809e-09,3.18063e-09,1.1206938469181738,,,1,2.83119e-09,3.18753e-09,1.1258622699288992,,,1,2.83809e-09,3.17373e-09,1.1182626343773452,,,1,2.83119e-09,2.84499e-09,1.0048742754813347,,,1,2.83119e-09,2.84499e-09,1.0048742754813347,,,1,2.82429e-09,3.18753e-09,1.128612854912208,,,2,2.84499e-09,3.18753e-09,1.1204011261902502,,,4,2.84499e-09,3.54387e-09,1.2456528845444097,,,8,2.83809e-09,3.53007e-09,1.243818906377176,,,12,2.83119e-09,3.87261e-09,1.367838258824028,,,24,2.83119e-09,3.88641e-09,1.3727125343053628,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/pdc.blif,1,2.83119e-09,2.85189e-09,1.007311413222002,,,1,2.85189e-09,3.19443e-09,1.1201098219075771,,,1,2.83809e-09,3.19443e-09,1.1255562719998309,,,1,3.18753e-09,3.53697e-09,1.109627203508673,,,1,2.85189e-09,3.18753e-09,1.1176903737521433,,,1,3.18063e-09,3.18063e-09,1.0,,,1,3.16683e-09,3.19443e-09,1.008715339945624,,,2,3.18063e-09,3.19443e-09,1.0043387630752398,,,5,3.18063e-09,4.56459e-09,1.4351213438847021,,,10,2.84499e-09,4.57149e-09,1.6068562631151602,,,15,3.18753e-09,4.23585e-09,1.3288816105260186,,,29,2.84499e-09,4.90023e-09,1.7224067571415012,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/seq.blif,1,1.79667e-09,2.13921e-09,1.1906527075088915,,,1,2.13231e-09,2.49555e-09,1.1703504649886742,,,1,2.14611e-09,2.48865e-09,1.159609712456491,,,1,2.48865e-09,2.48865e-09,1.0,,,1,1.45413e-09,2.48865e-09,1.7114357038229044,,,1,2.48865e-09,2.49555e-09,1.0027725875474656,,,1,2.48175e-09,2.49555e-09,1.005560592323965,,,1,2.13921e-09,2.83119e-09,1.323474553690381,,,2,2.13921e-09,2.83809e-09,1.3267000434739926,,,4,2.13921e-09,2.48865e-09,1.1633500217369963,,,6,2.13921e-09,3.87261e-09,1.8102991291177584,,,11,2.48865e-09,3.87951e-09,1.55888132119824,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/ex5p.blif,1,2.48865e-09,2.83809e-09,1.1404134771864263,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.14611e-09,2.83809e-09,1.322434544361659,,,1,2.15301e-09,2.48865e-09,1.1558933771789262,,,1,2.14611e-09,2.84499e-09,1.3256496638103359,,,1,2.14611e-09,2.48865e-09,1.159609712456491,,,1,2.15301e-09,2.83809e-09,1.3181963855253807,,,1,2.14611e-09,2.84499e-09,1.3256496638103359,,,2,2.14611e-09,2.85189e-09,1.3288647832590128,,,3,2.13921e-09,2.83119e-09,1.323474553690381,,,4,2.48865e-09,3.18063e-09,1.2780543668253872,,,7,2.15301e-09,3.53697e-09,1.6428024022182897,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/apex4.blif,1,2.13231e-09,2.50245e-09,1.1735863922225194,,,1,2.15301e-09,2.50245e-09,1.1623030083464545,,,1,2.14611e-09,2.15301e-09,1.003215119448677,,,1,2.14611e-09,2.50245e-09,1.1660399513538449,,,1,2.13921e-09,2.48865e-09,1.1633500217369963,,,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.13921e-09,2.50245e-09,1.1698010013042197,,,1,2.13921e-09,2.48865e-09,1.1633500217369963,,,2,2.14611e-09,2.83809e-09,1.322434544361659,,,3,2.13921e-09,2.85189e-09,1.3331510230412162,,,4,2.13921e-09,3.18753e-09,1.4900500652109891,,,8,2.13921e-09,3.18753e-09,1.4900500652109891,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/tseng.blif,1,4.81654e-09,5.52232e-09,1.1465325731749347,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,2,4.4878e-09,5.52922e-09,1.2320557957128213,,,3,4.81654e-09,7.24882e-09,1.5049849061774634,,,4,4.4878e-09,7.24882e-09,1.6152279513347296,,,17,4.81654e-09,8.98222e-09,1.8648698028045028,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
