1,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,9e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8.88e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2.5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,4.4e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.49e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.48e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.47e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,
/home/dsmu186/ths/workflow/blifs/s298.blif,N/A,N/A,N/A,N/A,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.49433e-09,7.26952e-09,1.3230948996510947,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.52232e-09,7.27642e-09,1.3176382390009995,,,1,5.52922e-09,7.28332e-09,1.3172418532812946,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,1,5.52922e-09,7.27642e-09,1.3159939376620933,,,3,5.52922e-09,8.32474e-09,1.5055903002593494,,,5,5.52922e-09,8.31094e-09,1.503094469020947,,,7,5.52922e-09,8.99602e-09,1.6269962128473816,,,14,5.52922e-09,9.00292e-09,1.6282441284665832,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/ex5p.blif,N/A,N/A,N/A,N/A,,,1,2.13921e-09,2.49555e-09,1.166575511520608,,,1,2.48865e-09,2.83809e-09,1.1404134771864263,,,1,2.15301e-09,2.83119e-09,1.3149915699416166,,,1,2.48175e-09,2.84499e-09,1.1463644605621033,,,1,2.48175e-09,2.50245e-09,1.0083408884859475,,,1,2.15301e-09,2.83119e-09,1.3149915699416166,,,1,2.14611e-09,2.84499e-09,1.3256496638103359,,,2,2.15301e-09,2.49555e-09,1.1590981927626904,,,3,2.48865e-09,2.84499e-09,1.1431860647338918,,,4,2.14611e-09,3.18753e-09,1.485259376266827,,,7,2.14611e-09,3.52317e-09,1.641653969274641,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/elliptic.blif,N/A,N/A,N/A,N/A,,,1,5.51542e-09,6.2143e-09,1.126713831403592,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2074e-09,1.1240565559402569,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,1,5.52232e-09,6.2005e-09,1.1228070810818642,,,2,5.52232e-09,6.56374e-09,1.188583783627171,,,4,5.52232e-09,8.63968e-09,1.5645018760231209,,,8,5.52232e-09,8.31094e-09,1.504972547769778,,,12,5.52232e-09,9.98914e-09,1.808866563328456,,,98,5.52232e-09,1.20375e-08,2.17979037795709,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/ex1010.blif,N/A,N/A,N/A,N/A,,,1,2.49555e-09,2.83809e-09,1.1372603233756085,,,1,2.83119e-09,2.83809e-09,1.0024371377406673,,,1,2.14611e-09,2.83809e-09,1.322434544361659,,,1,2.48865e-09,3.18753e-09,1.2808269543728528,,,1,2.49555e-09,2.84499e-09,1.140025244935986,,,1,2.49555e-09,2.84499e-09,1.140025244935986,,,2,2.83809e-09,3.18063e-09,1.1206938469181738,,,5,2.82429e-09,3.19443e-09,1.1310559468043295,,,10,2.49555e-09,3.53007e-09,1.4145458916872031,,,15,2.83119e-09,3.88641e-09,1.3727125343053628,,,29,2.49555e-09,3.87261e-09,1.5518062150628118,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/diffeq.blif,N/A,N/A,N/A,N/A,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.51542e-09,1.0662184315120398,,,2,5.17288e-09,5.53612e-09,1.070220070830949,,,4,5.17288e-09,7.9684e-09,1.5404184902800762,,,5,5.17288e-09,7.63966e-09,1.476867818313976,,,31,5.17288e-09,8.62588e-09,1.6675198342122763,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/s38417.blif,N/A,N/A,N/A,N/A,,,1,3.80272e-09,4.85104e-09,1.2756763579753438,,,1,4.14526e-09,4.5016e-09,1.0859632447663115,,,1,4.15216e-09,4.83724e-09,1.164993641863512,,,1,4.15906e-09,4.84414e-09,1.164719912672575,,,1,4.15906e-09,4.85104e-09,1.1663789413954115,,,2,4.14526e-09,4.4878e-09,1.0826341411636422,,,3,4.15906e-09,4.5085e-09,1.084018985059124,,,7,4.15906e-09,6.2281e-09,1.4974777954633978,,,13,4.15906e-09,6.59134e-09,1.5848148379681946,,,20,3.80272e-09,7.26262e-09,1.9098487398493709,,,93,4.15216e-09,8.28334e-09,1.9949472082000692,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/clma.blif,1,5.51542e-09,5.51542e-09,1.0,,,1,5.20048e-09,5.53612e-09,1.0645401962895733,,,1,5.20048e-09,5.20048e-09,1.0,,,1,5.20048e-09,5.54302e-09,1.0658669968925945,,,1,5.20048e-09,5.53612e-09,1.0645401962895733,,,1,5.20048e-09,5.54302e-09,1.0658669968925945,,,2,5.20048e-09,5.18668e-09,0.9973463987939575,,,4,5.20048e-09,5.13109e-09,0.9866570008922253,,,9,5.20048e-09,9.33166e-09,1.794384364520198,,,18,5.20048e-09,8.30404e-09,1.5967833738424146,,,27,5.20048e-09,9.688e-09,1.8629049626188352,,,63,5.20048e-09,1.00374e-08,1.930091068516752,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/frisc.blif,N/A,N/A,N/A,N/A,,,1,8.29024e-09,9.33166e-09,1.125620006175937,,,1,8.29024e-09,9.33166e-09,1.125620006175937,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.28334e-09,9.33166e-09,1.126557644621614,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,2,8.28334e-09,1.00236e-08,1.2100915814152262,,,4,8.29024e-09,1.07432e-08,1.2958852819701239,,,8,8.29024e-09,1.10996e-08,1.3388755934689465,,,12,8.29024e-09,1.41824e-08,1.7107345505075846,,,155,8.28334e-09,1.58813e-08,1.9172580142792643,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/seq.blif,N/A,N/A,N/A,N/A,,,1,2.48175e-09,2.49555e-09,1.005560592323965,,,1,2.48865e-09,2.48865e-09,1.0,,,1,2.48865e-09,2.14611e-09,0.8623591103610392,,,1,2.48175e-09,2.49555e-09,1.005560592323965,,,1,2.14611e-09,2.48865e-09,1.159609712456491,,,1,2.48865e-09,2.48175e-09,0.9972274124525344,,,1,2.48865e-09,2.15301e-09,0.8651316979085046,,,2,2.48865e-09,2.50245e-09,1.0055451750949311,,,4,2.48865e-09,2.48865e-09,1.0,,,6,2.48865e-09,3.87261e-09,1.5561087336507744,,,11,2.13921e-09,3.16683e-09,1.4803735958601538,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/bigkey.blif,N/A,N/A,N/A,N/A,,,1,1.33555e-09,1.33555e-09,1.0,,,1,1.33555e-09,1.44033e-09,1.0784545692785743,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.32865e-09,0.9948335891580248,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.33555e-09,1.0,,,2,1.33555e-09,1.32865e-09,0.9948335891580248,,,4,1.33555e-09,2.02753e-09,1.5181236194826102,,,6,1.33555e-09,2.37007e-09,1.7746022238029275,,,11,1.33555e-09,2.37007e-09,1.7746022238029275,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
