Name,0-LUT,1-LUT,2-LUT,3-LUT,4-LUT,5-LUT,6-LUT,Input,Output,.latch,.names,FPGA Width,First Pass Delay,Estimated Critical Path Delay,Channel Width,Av. Wire Segments, Max Wire Segments,Total Logic Block Area,Used Logic Block Area,Total Routing Area,Segment Usage,Critical Path,VPR Time
Minimum Width ex5p TMR,0,0,135,744,2376,0,0,8,63,0,3255,22,6.64E-09,5.20E-09,62,6.03046,221,7.17E+06,4.83E+06,3.39E+06,0.667,5.74E-09,452.114
Minimum Width frisc,0,0,276,965,2298,0,0,20,116,886,3539,23,1.47E-08,9.95E-09,56,6.66421,153,7.84E+06,5.32E+06,3.22E+06,0.726,1.04E-08,429.658
Minimum Width frisc TMR,0,0,828,3011,6894,0,0,20,116,2658,10733,39,1.91E-08,1.07E-08,66,6.5103,394,2.25E+07,1.61E+07,1.09E+07,0.678,1.11E-08,1383.44
Minimum Width misex3,0,0,66,502,829,0,0,14,14,0,1397,14,4.85E-09,3.73E-09,42,5.74857,67,2.90E+06,2.07E+06,9.48E+05,0.752,4.29E-09,60.019
Minimum Width misex3 TMR,0,0,198,1520,2487,0,0,14,14,0,4205,24,6.64E-09,5.12E-09,50,5.86212,171,8.53E+06,6.24E+06,3.30E+06,0.718,5.27E-09,368.648
Minimum Width pdc,0,0,84,979,3512,0,0,16,40,0,4575,25,7.80E-09,5.47E-09,64,7.8308,179,9.26E+06,6.78E+06,4.50E+06,0.773,6.41E-09,397.958
Minimum Width pdc TMR,0,0,252,2977,10536,0,0,16,40,0,13765,44,1.18E-08,7.46E-09,72,7.74884,397,2.87E+07,2.04E+07,1.49E+07,0.699,8.28E-09,1005.6
Minimum Width s298,0,0,172,432,1326,0,0,4,6,8,1930,17,9.93E-09,8.09E-09,30,5.16031,101,4.28E+06,2.87E+06,1.09E+06,0.626,8.58E-09,2620.11
Minimum Width s298 TMR,0,0,516,1302,3978,0,0,4,6,24,5796,29,1.21E-08,8.19E-09,34,4.97929,218,1.25E+07,8.61E+06,3.42E+06,0.619,8.40E-09,425.303
Minimum Width s38417,0,68,291,2508,3175,0,0,29,106,1463,6042,30,1.00E-08,5.91E-09,42,4.02152,148,1.33E+07,9.42E+06,4.19E+06,0.678,6.32E-09,376.671
