Name,0-LUT,1-LUT,2-LUT,3-LUT,4-LUT,5-LUT,6-LUT,Input,Output,.latch,.names,FPGA Width,First Pass Delay,Estimated Critical Path Delay,Channel Width,Av. Wire Segments, Max Wire Segments,Total Logic Block Area,Used Logic Block Area,Total Routing Area,Segment Usage,Critical Path,VPR Time
results_w-1\ex5p.blif.txt,0,0,45,227,792,0,0,8,63,0,1064,40,8.12E-09,4.15E-09,46,6.62312,71,2.37E+07,1.59E+06,4893.44,0.109,5.58E-09,295.911
results_w-1\ex5pTMR.blif.txt,0,0,135,744,2376,0,0,8,63,0,3255,40,1.01E-08,5.19E-09,64,5.77208,162,2.37E+07,4.83E+06,7049.54,0.202,5.95E-09,674.317
results_w-1\frisc.blif.txt,0,0,276,965,2298,0,0,20,116,886,3539,40,1.81E-08,1.03E-08,56,6.78665,129,2.37E+07,5.32E+06,6004.89,0.262,1.07E-08,817.911
results_w-1\friscTMR.blif.txt,0,0,828,3011,6894,0,0,20,116,2658,10733,40,2.04E-08,1.08E-08,68,6.42597,411,2.37E+07,1.61E+07,7309.34,0.619,1.10E-08,36582.1
results_w-1\misex3.blif.txt,0,0,66,502,829,0,0,14,14,0,1397,40,7.64E-09,3.81E-09,38,6.00714,78,2.37E+07,2.07E+06,4339.08,0.126,4.83E-09,242.764
results_w-1\misex3TMR.blif.txt,0,0,198,1520,2487,0,0,14,14,0,4205,40,9.22E-09,5.13E-09,52,5.89695,175,2.37E+07,6.24E+06,5724.37,0.266,5.34E-09,562.471
results_w-1\pdc.blif.txt,0,0,84,979,3512,0,0,16,40,0,4575,40,9.78E-09,5.75E-09,62,7.86385,158,2.37E+07,6.78E+06,6897.47,0.331,6.57E-09,1522.47
results_w-1\pdcTMR.blif.txt,0,0,252,2977,10536,0,0,16,40,0,13765,40,,,,,,,,,,,
results_w-1\s298.blif.txt,0,0,172,432,1326,0,0,4,6,8,1930,40,1.51E-08,7.91E-09,30,5.27023,84,2.37E+07,2.87E+06,3613.24,0.131,8.12E-09,213.08
results_w-1\s298TMR.blif.txt,0,0,516,1302,3978,0,0,4,6,24,5796,40,1.40E-08,8.17E-09,34,4.78945,210,2.37E+07,8.61E+06,4057.97,0.324,8.26E-09,589.367
results_w-1\s38417.blif.txt,0,68,291,2508,3175,0,0,29,106,1463,6042,40,1.21E-08,5.90E-09,44,3.97875,179,2.37E+07,9.42E+06,4755.32,0.372,6.18E-09,745.62
results_w-1\s38417TMR.blif.txt,0,204,873,7630,9525,0,0,29,106,4389,18232,40,,,,,,,,,,,
results_w-1\s38584.1.blif.txt,12,9,1600,1167,3389,0,0,38,304,1260,6177,40,9.23E-09,4.65E-09,44,4.29433,244,2.37E+07,9.54E+06,4755.32,0.408,5.09E-09,883.096
results_w-1\s38584.1TMR.blif.txt,36,27,4800,3805,10167,0,0,38,304,3780,18835,40,,,,,,,,,,,
results_w-1\seq.blif.txt,0,0,129,584,1037,0,0,41,35,0,1750,40,7.03E-09,3.87E-09,46,6.42667,91,2.37E+07,2.59E+06,4893.44,0.143,5.16E-09,400.422
results_w-1\seqTMR.blif.txt,0,0,387,1787,3111,0,0,41,35,0,5285,40,8.54E-09,5.12E-09,60,6.70402,215,2.37E+07,7.84E+06,6757.53,0.328,5.32E-09,1115.03
results_w-1\spla.blif.txt,0,0,53,892,2745,0,0,16,46,0,3690,40,8.95E-09,5.52E-09,58,6.89737,219,2.37E+07,5.47E+06,6154.77,0.246,6.01E-09,792.297
results_w-1\splaTMR.blif.txt,0,0,159,2722,8235,0,0,16,46,0,11116,40,1.01E-08,6.64E-09,66,6.81219,324,2.37E+07,1.65E+07,7185.35,0.645,6.82E-09,1212.6
results_w-1\tseng.blif.txt,0,0,132,283,631,0,0,52,122,385,1046,40,9.57E-09,5.81E-09,30,4.75351,60,2.37E+07,1.59E+06,3613.24,0.115,6.15E-09,175.164
results_w-1\tsengTMR.blif.txt,0,0,396,971,1893,0,0,52,122,1155,3260,40,1.06E-08,5.88E-09,36,4.99256,171,2.37E+07,4.90E+06,4198.19,0.296,6.15E-09,716.645
