1,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-3,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,9e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8.88e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,8e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,2.5e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-4,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,5e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,4.4e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.49e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.48e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1.47e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,1e-5,NumPartitions,Frequency Base (s),Frequency TMR (ns),Slowdown Factor,,
/home/dsmu186/ths/workflow/blifs/elliptic.blif,1,5.52232e-09,5.87866e-09,1.0645272276869142,,,1,5.52232e-09,5.87866e-09,1.0645272276869142,,,1,5.51542e-09,6.1936e-09,1.122960717406834,,,1,5.52232e-09,5.85106e-09,1.0595293282533427,,,1,5.52232e-09,5.85106e-09,1.0595293282533427,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,1,5.52232e-09,6.2143e-09,1.1253060307986498,,,2,5.52232e-09,6.54304e-09,1.1848353590519927,,,4,5.52232e-09,8.63968e-09,1.5645018760231209,,,8,5.52232e-09,8.31094e-09,1.504972547769778,,,12,5.52232e-09,8.64658e-09,1.5657513508815135,,,98,5.52232e-09,1.20444e-08,2.1810398528154833,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/frisc.blif,1,8.28334e-09,9.32476e-09,1.125724647304107,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.28334e-09,9.33856e-09,1.1273906419391213,,,1,8.28334e-09,9.33166e-09,1.126557644621614,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,1,8.28334e-09,9.32476e-09,1.125724647304107,,,1,8.29024e-09,9.33856e-09,1.126452310186436,,,2,8.29024e-09,1.07018e-08,1.2908914579071291,,,4,8.29024e-09,1.07432e-08,1.2958852819701239,,,8,8.29024e-09,1.2764e-08,1.539641795653684,,,12,8.29024e-09,1.41824e-08,1.7107345505075846,,,155,8.29024e-09,1.58744e-08,1.9148299687343187,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/des.blif,1,2.15301e-09,2.49555e-09,1.1590981927626904,,,1,2.15301e-09,2.48865e-09,1.1558933771789262,,,1,2.13921e-09,2.48865e-09,1.1633500217369963,,,1,2.13921e-09,2.13231e-09,0.9967745102163883,,,1,2.15301e-09,2.48865e-09,1.1558933771789262,,,1,2.14611e-09,2.48865e-09,1.159609712456491,,,1,2.14611e-09,2.13231e-09,0.9935697611026462,,,1,2.13921e-09,2.48865e-09,1.1633500217369963,,,2,2.15301e-09,2.83809e-09,1.3181963855253807,,,4,2.13921e-09,3.20133e-09,1.4965010447782126,,,5,2.15301e-09,2.85189e-09,1.324606016692909,,,10,2.14611e-09,3.53697e-09,1.6480842081719949,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/seq.blif,1,2.13921e-09,2.49555e-09,1.166575511520608,,,1,2.48865e-09,2.14611e-09,0.8623591103610392,,,1,2.14611e-09,2.48865e-09,1.159609712456491,,,1,2.48865e-09,2.49555e-09,1.0027725875474656,,,1,2.48865e-09,2.14611e-09,0.8623591103610392,,,1,2.13921e-09,2.48865e-09,1.1633500217369963,,,1,2.13921e-09,2.50245e-09,1.1698010013042197,,,1,2.48865e-09,2.49555e-09,1.0027725875474656,,,2,2.14611e-09,2.50245e-09,1.1660399513538449,,,4,2.14611e-09,3.18753e-09,1.485259376266827,,,6,2.14611e-09,3.87261e-09,1.804478801179809,,,11,2.13921e-09,3.87951e-09,1.81352461890137,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/ex5p.blif,1,2.48175e-09,2.49555e-09,1.005560592323965,,,1,2.15301e-09,2.83119e-09,1.3149915699416166,,,1,2.48865e-09,2.49555e-09,1.0027725875474656,,,1,2.15301e-09,2.84499e-09,1.3214012011091447,,,1,2.15301e-09,2.83119e-09,1.3149915699416166,,,1,2.48175e-09,2.83809e-09,1.1435841644001208,,,1,2.13921e-09,2.84499e-09,1.3299255332576045,,,1,2.48175e-09,2.83809e-09,1.1435841644001208,,,2,2.14611e-09,2.83809e-09,1.322434544361659,,,3,2.48175e-09,2.83119e-09,1.1408038682381385,,,4,2.15301e-09,3.85881e-09,1.7922861482296875,,,7,1.79667e-09,3.53007e-09,1.964784851976156,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/diffeq.blif,1,5.17288e-09,5.52232e-09,1.0675523112850096,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,1,5.17288e-09,5.51542e-09,1.0662184315120398,,,1,5.17288e-09,5.51542e-09,1.0662184315120398,,,1,5.17288e-09,5.51542e-09,1.0662184315120398,,,1,5.17288e-09,5.17978e-09,1.0013338797729698,,,2,5.17288e-09,5.20048e-09,1.0053355190918791,,,4,5.17288e-09,7.9684e-09,1.5404184902800762,,,5,5.17288e-09,7.63966e-09,1.476867818313976,,,31,5.17288e-09,8.62588e-09,1.6675198342122763,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/bigkey.blif,1,1.33555e-09,1.33555e-09,1.0,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.33555e-09,1.0,,,1,1.32865e-09,1.33555e-09,1.0051932412599256,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.32865e-09,2.05552e-09,1.5470740977684116,,,1,1.33555e-09,1.44723e-09,1.0836209801205496,,,1,1.33555e-09,1.33555e-09,1.0,,,2,1.33555e-09,2.05552e-09,1.5390812773763618,,,4,1.32865e-09,2.03443e-09,1.5312008429609,,,6,1.32865e-09,2.37007e-09,1.7838181612915365,,,11,1.33555e-09,2.37007e-09,1.7746022238029275,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/alu4.blif,1,2.14611e-09,2.83119e-09,1.319219424912982,,,1,2.48175e-09,2.48865e-09,1.0027802961619825,,,1,2.15301e-09,2.83119e-09,1.3149915699416166,,,1,2.15301e-09,2.81739e-09,1.3085819387740882,,,1,2.48865e-09,2.83119e-09,1.137640889638961,,,1,2.48865e-09,2.49555e-09,1.0027725875474656,,,1,1.80357e-09,2.83119e-09,1.5697699562534306,,,1,2.47485e-09,2.83119e-09,1.1439844839081157,,,2,2.48865e-09,2.84499e-09,1.1431860647338918,,,4,2.48175e-09,2.83809e-09,1.1435841644001208,,,5,2.13921e-09,3.18753e-09,1.4900500652109891,,,10,2.48175e-09,3.52317e-09,1.4196313085524328,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/apex2.blif,1,2.50245e-09,2.83119e-09,1.1313672600851166,,,1,2.83809e-09,2.84499e-09,1.0024312125408286,,,1,2.49555e-09,3.16683e-09,1.268990803630462,,,1,2.83809e-09,2.83119e-09,0.9975687874591714,,,1,2.83809e-09,2.84499e-09,1.0024312125408286,,,1,2.83809e-09,2.85189e-09,1.0048624250816571,,,1,2.83809e-09,2.82429e-09,0.995137574918343,,,1,2.83809e-09,2.83119e-09,0.9975687874591714,,,2,2.83119e-09,3.53007e-09,1.2468502643764636,,,4,2.50245e-09,3.53697e-09,1.4134028651921116,,,6,2.83119e-09,3.52317e-09,1.2444131266357963,,,12,2.49555e-09,4.20825e-09,1.6863016168780427,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
/home/dsmu186/ths/workflow/blifs/tseng.blif,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,1,4.81654e-09,5.52232e-09,1.1465325731749347,,,1,4.4878e-09,5.52232e-09,1.230518294041624,,,2,4.4878e-09,5.52232e-09,1.230518294041624,,,3,4.81654e-09,7.24192e-09,1.503552342552953,,,4,4.4878e-09,7.25572e-09,1.616765453005927,,,17,4.4878e-09,8.98222e-09,2.0014751102990327,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,
